Category: All categories

Month,queer: (Brazil)
2004-01,62
2004-02,47
2004-03,64
2004-04,100
2004-05,59
2004-06,20
2004-07,64
2004-08,43
2004-09,59
2004-10,44
2004-11,36
2004-12,36
2005-01,34
2005-02,45
2005-03,38
2005-04,49
2005-05,23
2005-06,39
2005-07,12
2005-08,20
2005-09,10
2005-10,28
2005-11,23
2005-12,49
2006-01,14
2006-02,32
2006-03,7
2006-04,26
2006-05,12
2006-06,33
2006-07,16
2006-08,14
2006-09,17
2006-10,23
2006-11,29
2006-12,11
2007-01,14
2007-02,16
2007-03,18
2007-04,20
2007-05,28
2007-06,16
2007-07,27
2007-08,25
2007-09,18
2007-10,20
2007-11,13
2007-12,20
2008-01,15
2008-02,16
2008-03,15
2008-04,25
2008-05,22
2008-06,20
2008-07,24
2008-08,22
2008-09,19
2008-10,16
2008-11,10
2008-12,20
2009-01,24
2009-02,28
2009-03,15
2009-04,26
2009-05,19
2009-06,17
2009-07,18
2009-08,15
2009-09,14
2009-10,17
2009-11,13
2009-12,23
2010-01,14
2010-02,12
2010-03,20
2010-04,20
2010-05,25
2010-06,17
2010-07,21
2010-08,16
2010-09,26
2010-10,19
2010-11,18
2010-12,13
2011-01,24
2011-02,20
2011-03,16
2011-04,17
2011-05,21
2011-06,19
2011-07,22
2011-08,22
2011-09,20
2011-10,20
2011-11,21
2011-12,23
2012-01,20
2012-02,20
2012-03,16
2012-04,16
2012-05,13
2012-06,18
2012-07,22
2012-08,15
2012-09,16
2012-10,14
2012-11,12
2012-12,15
2013-01,18
2013-02,16
2013-03,14
2013-04,15
2013-05,17
2013-06,19
2013-07,13
2013-08,16
2013-09,19
2013-10,18
2013-11,15
2013-12,14
2014-01,17
2014-02,16
2014-03,16
2014-04,16
2014-05,15
2014-06,18
2014-07,10
2014-08,16
2014-09,11
2014-10,13
2014-11,13
2014-12,13
2015-01,17
2015-02,14
2015-03,11
2015-04,13
2015-05,15
2015-06,15
2015-07,12
2015-08,11
2015-09,16
2015-10,13
2015-11,12
2015-12,13
2016-01,10
2016-02,10
2016-03,13
2016-04,10
2016-05,14
2016-06,17
2016-07,13
2016-08,12
2016-09,14
2016-10,16
2016-11,12
2016-12,10
2017-01,11
2017-02,10
2017-03,13
2017-04,10
2017-05,13
2017-06,26
2017-07,21
2017-08,14
2017-09,51
2017-10,25
2017-11,16
2017-12,13
2018-01,14
2018-02,28
2018-03,18
2018-04,16
2018-05,13
2018-06,40
2018-07,32
2018-08,25
2018-09,22
2018-10,18
2018-11,16
2018-12,15
2019-01,13
2019-02,14
2019-03,25
2019-04,14
2019-05,17
2019-06,31
2019-07,32
2019-08,21
2019-09,21
2019-10,19
2019-11,19
2019-12,14
2020-01,12
2020-02,20
2020-03,14
2020-04,13
2020-05,16
2020-06,48
2020-07,23
2020-08,22
2020-09,17
2020-10,22
2020-11,18
2020-12,17
2021-01,67
2021-02,15
2021-03,15
2021-04,18
2021-05,19
2021-06,33
