Category: All categories

Month,assexual: (Brazil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,4
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,3
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,2
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,1
2008-08,1
2008-09,1
2008-10,0
2008-11,0
2008-12,0
2009-01,1
2009-02,1
2009-03,0
2009-04,0
2009-05,0
2009-06,1
2009-07,2
2009-08,0
2009-09,1
2009-10,0
2009-11,0
2009-12,2
2010-01,1
2010-02,1
2010-03,0
2010-04,1
2010-05,0
2010-06,1
2010-07,0
2010-08,0
2010-09,1
2010-10,0
2010-11,0
2010-12,0
2011-01,1
2011-02,1
2011-03,1
2011-04,<1
2011-05,1
2011-06,1
2011-07,0
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,1
2011-12,<1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,<1
2012-09,1
2012-10,1
2012-11,<1
2012-12,1
2013-01,0
2013-02,1
2013-03,<1
2013-04,<1
2013-05,<1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,2
2014-05,2
2014-06,2
2014-07,4
2014-08,1
2014-09,2
2014-10,2
2014-11,1
2014-12,1
2015-01,2
2015-02,2
2015-03,2
2015-04,3
2015-05,1
2015-06,2
2015-07,4
2015-08,3
2015-09,2
2015-10,3
2015-11,1
2015-12,2
2016-01,2
2016-02,3
2016-03,2
2016-04,1
2016-05,9
2016-06,4
2016-07,3
2016-08,3
2016-09,4
2016-10,3
2016-11,2
2016-12,3
2017-01,4
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,4
2017-07,3
2017-08,5
2017-09,7
2017-10,5
2017-11,4
2017-12,7
2018-01,7
2018-02,6
2018-03,4
2018-04,5
2018-05,5
2018-06,6
2018-07,6
2018-08,6
2018-09,6
2018-10,4
2018-11,5
2018-12,6
2019-01,7
2019-02,7
2019-03,5
2019-04,6
2019-05,3
2019-06,10
2019-07,9
2019-08,9
2019-09,10
2019-10,13
2019-11,16
2019-12,11
2020-01,100
2020-02,26
2020-03,24
2020-04,13
2020-05,15
2020-06,22
2020-07,20
2020-08,18
2020-09,14
2020-10,22
2020-11,16
2020-12,18
2021-01,18
2021-02,18
2021-03,15
2021-04,16
2021-05,24
2021-06,43
