Category: All categories

Month,intersexual: (Brazil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,91
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,29
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,22
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,17
2007-07,16
2007-08,0
2007-09,0
2007-10,0
2007-11,12
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,10
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,9
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,4
2011-02,0
2011-03,0
2011-04,0
2011-05,6
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,11
2011-11,0
2011-12,3
2012-01,0
2012-02,0
2012-03,7
2012-04,3
2012-05,2
2012-06,3
2012-07,0
2012-08,0
2012-09,0
2012-10,7
2012-11,5
2012-12,2
2013-01,4
2013-02,5
2013-03,2
2013-04,2
2013-05,4
2013-06,4
2013-07,2
2013-08,0
2013-09,4
2013-10,4
2013-11,7
2013-12,4
2014-01,27
2014-02,8
2014-03,7
2014-04,5
2014-05,7
2014-06,6
2014-07,2
2014-08,0
2014-09,18
2014-10,16
2014-11,36
2014-12,17
2015-01,5
2015-02,27
2015-03,36
2015-04,34
2015-05,25
2015-06,66
2015-07,15
2015-08,41
2015-09,42
2015-10,32
2015-11,20
2015-12,31
2016-01,20
2016-02,28
2016-03,13
2016-04,29
2016-05,19
2016-06,23
2016-07,18
2016-08,13
2016-09,25
2016-10,18
2016-11,11
2016-12,12
2017-01,59
2017-02,20
2017-03,43
2017-04,18
2017-05,26
2017-06,19
2017-07,23
2017-08,15
2017-09,21
2017-10,24
2017-11,25
2017-12,29
2018-01,9
2018-02,24
2018-03,27
2018-04,17
2018-05,21
2018-06,39
2018-07,24
2018-08,32
2018-09,35
2018-10,100
2018-11,27
2018-12,23
2019-01,26
2019-02,60
2019-03,12
2019-04,23
2019-05,28
2019-06,49
2019-07,26
2019-08,38
2019-09,30
2019-10,26
2019-11,12
2019-12,28
2020-01,46
2020-02,59
2020-03,38
2020-04,23
2020-05,34
2020-06,79
2020-07,36
2020-08,48
2020-09,37
2020-10,36
2020-11,29
2020-12,41
2021-01,26
2021-02,21
2021-03,23
2021-04,40
2021-05,32
2021-06,74
