Category: All categories

Month,não binário: (Brazil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,43
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,9
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,11
2008-09,0
2008-10,0
2008-11,0
2008-12,6
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,5
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,4
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,2
2011-06,0
2011-07,0
2011-08,1
2011-09,0
2011-10,1
2011-11,0
2011-12,1
2012-01,1
2012-02,0
2012-03,1
2012-04,0
2012-05,0
2012-06,1
2012-07,0
2012-08,0
2012-09,3
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,1
2013-03,2
2013-04,3
2013-05,2
2013-06,1
2013-07,0
2013-08,1
2013-09,1
2013-10,3
2013-11,1
2013-12,5
2014-01,0
2014-02,3
2014-03,2
2014-04,1
2014-05,2
2014-06,0
2014-07,2
2014-08,3
2014-09,1
2014-10,3
2014-11,6
2014-12,1
2015-01,3
2015-02,3
2015-03,3
2015-04,7
2015-05,2
2015-06,4
2015-07,2
2015-08,4
2015-09,3
2015-10,2
2015-11,2
2015-12,1
2016-01,2
2016-02,2
2016-03,4
2016-04,1
2016-05,5
2016-06,7
2016-07,5
2016-08,3
2016-09,2
2016-10,4
2016-11,6
2016-12,6
2017-01,7
2017-02,10
2017-03,7
2017-04,2
2017-05,5
2017-06,9
2017-07,8
2017-08,24
2017-09,12
2017-10,11
2017-11,8
2017-12,2
2018-01,7
2018-02,8
2018-03,2
2018-04,13
2018-05,62
2018-06,12
2018-07,15
2018-08,13
2018-09,13
2018-10,9
2018-11,7
2018-12,7
2019-01,15
2019-02,13
2019-03,10
2019-04,15
2019-05,12
2019-06,21
2019-07,21
2019-08,25
2019-09,18
2019-10,32
2019-11,25
2019-12,31
2020-01,29
2020-02,26
2020-03,25
2020-04,37
2020-05,38
2020-06,48
2020-07,44
2020-08,48
2020-09,50
2020-10,40
2020-11,30
2020-12,45
2021-01,31
2021-02,36
2021-03,39
2021-04,39
2021-05,88
2021-06,100
