Category: All categories

Month,gls: (Brazil)
2004-01,53
2004-02,94
2004-03,81
2004-04,53
2004-05,46
2004-06,60
2004-07,74
2004-08,61
2004-09,78
2004-10,67
2004-11,70
2004-12,100
2005-01,94
2005-02,75
2005-03,61
2005-04,77
2005-05,61
2005-06,69
2005-07,65
2005-08,62
2005-09,68
2005-10,55
2005-11,52
2005-12,64
2006-01,59
2006-02,43
2006-03,46
2006-04,58
2006-05,46
2006-06,47
2006-07,44
2006-08,48
2006-09,42
2006-10,35
2006-11,39
2006-12,48
2007-01,40
2007-02,36
2007-03,30
2007-04,30
2007-05,34
2007-06,42
2007-07,34
2007-08,31
2007-09,31
2007-10,28
2007-11,33
2007-12,37
2008-01,44
2008-02,33
2008-03,37
2008-04,31
2008-05,39
2008-06,40
2008-07,38
2008-08,35
2008-09,36
2008-10,34
2008-11,33
2008-12,43
2009-01,50
2009-02,46
2009-03,50
2009-04,45
2009-05,44
2009-06,41
2009-07,49
2009-08,41
2009-09,39
2009-10,38
2009-11,35
2009-12,39
2010-01,38
2010-02,37
2010-03,36
2010-04,32
2010-05,29
2010-06,31
2010-07,32
2010-08,27
2010-09,32
2010-10,32
2010-11,27
2010-12,28
2011-01,31
2011-02,27
2011-03,27
2011-04,27
2011-05,31
2011-06,30
2011-07,27
2011-08,25
2011-09,26
2011-10,23
2011-11,25
2011-12,24
2012-01,27
2012-02,25
2012-03,22
2012-04,24
2012-05,20
2012-06,24
2012-07,23
2012-08,22
2012-09,22
2012-10,21
2012-11,20
2012-12,24
2013-01,23
2013-02,20
2013-03,20
2013-04,18
2013-05,20
2013-06,20
2013-07,19
2013-08,19
2013-09,19
2013-10,18
2013-11,20
2013-12,18
2014-01,19
2014-02,18
2014-03,17
2014-04,16
2014-05,17
2014-06,15
2014-07,17
2014-08,16
2014-09,14
2014-10,14
2014-11,14
2014-12,16
2015-01,15
2015-02,15
2015-03,14
2015-04,15
2015-05,13
2015-06,17
2015-07,15
2015-08,14
2015-09,15
2015-10,17
2015-11,14
2015-12,16
2016-01,15
2016-02,14
2016-03,13
2016-04,13
2016-05,13
2016-06,14
2016-07,13
2016-08,12
2016-09,12
2016-10,11
2016-11,12
2016-12,14
2017-01,14
2017-02,12
2017-03,12
2017-04,11
2017-05,12
2017-06,12
2017-07,11
2017-08,12
2017-09,11
2017-10,11
2017-11,12
2017-12,11
2018-01,11
2018-02,10
2018-03,10
2018-04,9
2018-05,9
2018-06,9
2018-07,10
2018-08,10
2018-09,10
2018-10,9
2018-11,10
2018-12,10
2019-01,9
2019-02,9
2019-03,9
2019-04,9
2019-05,10
2019-06,10
2019-07,10
2019-08,8
2019-09,9
2019-10,7
2019-11,8
2019-12,8
2020-01,9
2020-02,10
2020-03,7
2020-04,6
2020-05,8
2020-06,6
2020-07,7
2020-08,7
2020-09,7
2020-10,8
2020-11,7
2020-12,8
2021-01,8
2021-02,8
2021-03,7
2021-04,7
2021-05,7
2021-06,8
