Category: All categories

Month,gay: (Brazil)
2004-01,62
2004-02,54
2004-03,45
2004-04,51
2004-05,48
2004-06,58
2004-07,51
2004-08,45
2004-09,47
2004-10,45
2004-11,47
2004-12,45
2005-01,59
2005-02,50
2005-03,43
2005-04,45
2005-05,44
2005-06,46
2005-07,44
2005-08,40
2005-09,35
2005-10,37
2005-11,38
2005-12,46
2006-01,44
2006-02,42
2006-03,37
2006-04,40
2006-05,37
2006-06,46
2006-07,48
2006-08,37
2006-09,39
2006-10,38
2006-11,41
2006-12,42
2007-01,38
2007-02,44
2007-03,38
2007-04,39
2007-05,38
2007-06,49
2007-07,46
2007-08,40
2007-09,43
2007-10,41
2007-11,39
2007-12,42
2008-01,41
2008-02,43
2008-03,40
2008-04,39
2008-05,46
2008-06,44
2008-07,47
2008-08,45
2008-09,44
2008-10,46
2008-11,46
2008-12,50
2009-01,49
2009-02,50
2009-03,46
2009-04,51
2009-05,48
2009-06,50
2009-07,50
2009-08,49
2009-09,51
2009-10,48
2009-11,50
2009-12,57
2010-01,52
2010-02,53
2010-03,51
2010-04,54
2010-05,55
2010-06,58
2010-07,58
2010-08,54
2010-09,53
2010-10,58
2010-11,55
2010-12,59
2011-01,60
2011-02,58
2011-03,57
2011-04,58
2011-05,62
2011-06,67
2011-07,61
2011-08,58
2011-09,60
2011-10,59
2011-11,57
2011-12,64
2012-01,62
2012-02,61
2012-03,58
2012-04,64
2012-05,62
2012-06,68
2012-07,66
2012-08,66
2012-09,65
2012-10,64
2012-11,66
2012-12,75
2013-01,70
2013-02,73
2013-03,68
2013-04,69
2013-05,69
2013-06,77
2013-07,73
2013-08,73
2013-09,71
2013-10,72
2013-11,71
2013-12,75
2014-01,74
2014-02,78
2014-03,75
2014-04,73
2014-05,74
2014-06,78
2014-07,79
2014-08,77
2014-09,75
2014-10,74
2014-11,77
2014-12,84
2015-01,80
2015-02,82
2015-03,74
2015-04,77
2015-05,75
2015-06,100
2015-07,82
2015-08,82
2015-09,82
2015-10,78
2015-11,79
2015-12,91
2016-01,78
2016-02,75
2016-03,69
2016-04,71
2016-05,71
2016-06,72
2016-07,78
2016-08,68
2016-09,74
2016-10,73
2016-11,69
2016-12,78
2017-01,74
2017-02,71
2017-03,68
2017-04,70
2017-05,66
2017-06,72
2017-07,71
2017-08,69
2017-09,71
2017-10,65
2017-11,65
2017-12,69
2018-01,66
2018-02,62
2018-03,61
2018-04,57
2018-05,59
2018-06,64
2018-07,63
2018-08,61
2018-09,62
2018-10,66
2018-11,58
2018-12,62
2019-01,58
2019-02,55
2019-03,57
2019-04,57
2019-05,55
2019-06,62
2019-07,59
2019-08,55
2019-09,57
2019-10,56
2019-11,55
2019-12,60
2020-01,59
2020-02,56
2020-03,54
2020-04,52
2020-05,50
2020-06,50
2020-07,50
2020-08,47
2020-09,48
2020-10,51
2020-11,49
2020-12,53
2021-01,50
2021-02,48
2021-03,46
2021-04,46
2021-05,45
2021-06,47
