Category: All categories

Month,bissexual: (Brazil)
2004-01,76
2004-02,25
2004-03,39
2004-04,20
2004-05,24
2004-06,32
2004-07,18
2004-08,21
2004-09,34
2004-10,36
2004-11,15
2004-12,37
2005-01,7
2005-02,22
2005-03,16
2005-04,23
2005-05,24
2005-06,32
2005-07,15
2005-08,37
2005-09,12
2005-10,22
2005-11,23
2005-12,16
2006-01,33
2006-02,53
2006-03,20
2006-04,21
2006-05,23
2006-06,22
2006-07,13
2006-08,18
2006-09,23
2006-10,25
2006-11,14
2006-12,17
2007-01,16
2007-02,23
2007-03,11
2007-04,12
2007-05,15
2007-06,13
2007-07,15
2007-08,14
2007-09,14
2007-10,12
2007-11,16
2007-12,19
2008-01,10
2008-02,17
2008-03,11
2008-04,11
2008-05,12
2008-06,14
2008-07,13
2008-08,13
2008-09,14
2008-10,15
2008-11,6
2008-12,22
2009-01,18
2009-02,17
2009-03,18
2009-04,15
2009-05,22
2009-06,17
2009-07,19
2009-08,13
2009-09,14
2009-10,15
2009-11,16
2009-12,12
2010-01,19
2010-02,15
2010-03,18
2010-04,9
2010-05,13
2010-06,11
2010-07,10
2010-08,14
2010-09,14
2010-10,17
2010-11,16
2010-12,14
2011-01,17
2011-02,14
2011-03,15
2011-04,14
2011-05,19
2011-06,16
2011-07,17
2011-08,14
2011-09,13
2011-10,15
2011-11,13
2011-12,16
2012-01,20
2012-02,17
2012-03,15
2012-04,17
2012-05,18
2012-06,16
2012-07,20
2012-08,20
2012-09,12
2012-10,18
2012-11,16
2012-12,18
2013-01,27
2013-02,22
2013-03,17
2013-04,20
2013-05,18
2013-06,18
2013-07,19
2013-08,16
2013-09,22
2013-10,15
2013-11,17
2013-12,16
2014-01,17
2014-02,18
2014-03,18
2014-04,20
2014-05,18
2014-06,20
2014-07,17
2014-08,17
2014-09,20
2014-10,17
2014-11,18
2014-12,20
2015-01,18
2015-02,17
2015-03,18
2015-04,18
2015-05,21
2015-06,21
2015-07,21
2015-08,19
2015-09,21
2015-10,19
2015-11,23
2015-12,19
2016-01,18
2016-02,20
2016-03,16
2016-04,23
2016-05,19
2016-06,18
2016-07,19
2016-08,18
2016-09,19
2016-10,18
2016-11,20
2016-12,19
2017-01,20
2017-02,19
2017-03,20
2017-04,19
2017-05,16
2017-06,17
2017-07,18
2017-08,18
2017-09,20
2017-10,21
2017-11,15
2017-12,19
2018-01,17
2018-02,19
2018-03,17
2018-04,16
2018-05,18
2018-06,23
2018-07,25
2018-08,20
2018-09,21
2018-10,21
2018-11,25
2018-12,24
2019-01,22
2019-02,32
2019-03,20
2019-04,26
2019-05,24
2019-06,31
2019-07,24
2019-08,23
2019-09,25
2019-10,21
2019-11,21
2019-12,22
2020-01,26
2020-02,23
2020-03,25
2020-04,26
2020-05,25
2020-06,32
2020-07,29
2020-08,30
2020-09,33
2020-10,27
2020-11,26
2020-12,26
2021-01,32
2021-02,36
2021-03,28
2021-04,28
2021-05,26
2021-06,100
