Category: All categories

Month,transexual: (Brazil)
2004-01,6
2004-02,9
2004-03,0
2004-04,13
2004-05,20
2004-06,16
2004-07,13
2004-08,17
2004-09,15
2004-10,11
2004-11,9
2004-12,9
2005-01,10
2005-02,14
2005-03,15
2005-04,6
2005-05,15
2005-06,6
2005-07,13
2005-08,4
2005-09,4
2005-10,5
2005-11,10
2005-12,8
2006-01,7
2006-02,12
2006-03,7
2006-04,10
2006-05,5
2006-06,3
2006-07,10
2006-08,7
2006-09,7
2006-10,8
2006-11,6
2006-12,9
2007-01,5
2007-02,5
2007-03,6
2007-04,8
2007-05,7
2007-06,7
2007-07,6
2007-08,5
2007-09,4
2007-10,4
2007-11,6
2007-12,6
2008-01,5
2008-02,5
2008-03,4
2008-04,8
2008-05,8
2008-06,6
2008-07,8
2008-08,5
2008-09,5
2008-10,4
2008-11,6
2008-12,3
2009-01,8
2009-02,7
2009-03,7
2009-04,4
2009-05,4
2009-06,5
2009-07,5
2009-08,4
2009-09,5
2009-10,3
2009-11,6
2009-12,7
2010-01,6
2010-02,4
2010-03,5
2010-04,5
2010-05,7
2010-06,4
2010-07,3
2010-08,5
2010-09,4
2010-10,5
2010-11,7
2010-12,5
2011-01,100
2011-02,17
2011-03,10
2011-04,10
2011-05,7
2011-06,10
2011-07,7
2011-08,6
2011-09,5
2011-10,7
2011-11,5
2011-12,6
2012-01,10
2012-02,7
2012-03,6
2012-04,5
2012-05,5
2012-06,5
2012-07,4
2012-08,8
2012-09,6
2012-10,5
2012-11,6
2012-12,5
2013-01,6
2013-02,6
2013-03,5
2013-04,7
2013-05,7
2013-06,5
2013-07,8
2013-08,6
2013-09,6
2013-10,6
2013-11,5
2013-12,14
2014-01,7
2014-02,8
2014-03,13
2014-04,9
2014-05,8
2014-06,8
2014-07,7
2014-08,5
2014-09,9
2014-10,9
2014-11,6
2014-12,9
2015-01,9
2015-02,7
2015-03,6
2015-04,10
2015-05,9
2015-06,14
2015-07,9
2015-08,11
2015-09,8
2015-10,9
2015-11,9
2015-12,9
2016-01,8
2016-02,11
2016-03,8
2016-04,9
2016-05,8
2016-06,9
2016-07,8
2016-08,8
2016-09,8
2016-10,8
2016-11,7
2016-12,8
2017-01,8
2017-02,10
2017-03,10
2017-04,11
2017-05,10
2017-06,10
2017-07,14
2017-08,11
2017-09,11
2017-10,9
2017-11,6
2017-12,7
2018-01,8
2018-02,8
2018-03,8
2018-04,7
2018-05,6
2018-06,8
2018-07,8
2018-08,8
2018-09,8
2018-10,8
2018-11,7
2018-12,7
2019-01,8
2019-02,7
2019-03,7
2019-04,8
2019-05,9
2019-06,10
2019-07,8
2019-08,10
2019-09,8
2019-10,7
2019-11,7
2019-12,7
2020-01,8
2020-02,6
2020-03,10
2020-04,6
2020-05,6
2020-06,6
2020-07,6
2020-08,7
2020-09,6
2020-10,6
2020-11,6
2020-12,6
2021-01,6
2021-02,6
2021-03,5
2021-04,6
2021-05,5
2021-06,6
