Category: All categories

Month,lgbt: (Brazil)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,2
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,1
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,1
2006-07,1
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,<1
2007-05,0
2007-06,<1
2007-07,0
2007-08,0
2007-09,1
2007-10,<1
2007-11,0
2007-12,0
2008-01,0
2008-02,<1
2008-03,0
2008-04,0
2008-05,0
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,2
2008-11,<1
2008-12,1
2009-01,1
2009-02,1
2009-03,<1
2009-04,<1
2009-05,1
2009-06,1
2009-07,2
2009-08,2
2009-09,2
2009-10,1
2009-11,2
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,2
2010-06,4
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,1
2011-01,1
2011-02,<1
2011-03,2
2011-04,2
2011-05,3
2011-06,5
2011-07,4
2011-08,4
2011-09,5
2011-10,4
2011-11,2
2011-12,2
2012-01,1
2012-02,1
2012-03,2
2012-04,3
2012-05,3
2012-06,5
2012-07,2
2012-08,3
2012-09,3
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,1
2013-03,2
2013-04,3
2013-05,3
2013-06,6
2013-07,3
2013-08,3
2013-09,4
2013-10,4
2013-11,3
2013-12,3
2014-01,3
2014-02,3
2014-03,2
2014-04,4
2014-05,5
2014-06,4
2014-07,3
2014-08,4
2014-09,9
2014-10,13
2014-11,6
2014-12,4
2015-01,4
2015-02,4
2015-03,5
2015-04,5
2015-05,7
2015-06,28
2015-07,8
2015-08,7
2015-09,8
2015-10,7
2015-11,8
2015-12,5
2016-01,5
2016-02,6
2016-03,8
2016-04,9
2016-05,16
2016-06,17
2016-07,11
2016-08,10
2016-09,12
2016-10,13
2016-11,12
2016-12,11
2017-01,10
2017-02,10
2017-03,12
2017-04,14
2017-05,14
2017-06,54
2017-07,19
2017-08,16
2017-09,24
2017-10,18
2017-11,20
2017-12,14
2018-01,12
2018-02,14
2018-03,14
2018-04,13
2018-05,21
2018-06,43
2018-07,24
2018-08,27
2018-09,34
2018-10,41
2018-11,30
2018-12,18
2019-01,31
2019-02,28
2019-03,21
2019-04,20
2019-05,27
2019-06,68
2019-07,31
2019-08,29
2019-09,37
2019-10,28
2019-11,24
2019-12,24
2020-01,25
2020-02,28
2020-03,20
2020-04,20
2020-05,30
2020-06,57
2020-07,37
2020-08,30
2020-09,32
2020-10,32
2020-11,32
2020-12,34
2021-01,32
2021-02,31
2021-03,33
2021-04,32
2021-05,40
2021-06,100
