Category: All categories

Month,travesti: (Brazil)
2004-01,95
2004-02,84
2004-03,64
2004-04,75
2004-05,76
2004-06,68
2004-07,96
2004-08,83
2004-09,77
2004-10,83
2004-11,80
2004-12,73
2005-01,80
2005-02,100
2005-03,59
2005-04,81
2005-05,66
2005-06,71
2005-07,90
2005-08,68
2005-09,58
2005-10,68
2005-11,61
2005-12,74
2006-01,63
2006-02,59
2006-03,54
2006-04,50
2006-05,55
2006-06,52
2006-07,56
2006-08,54
2006-09,51
2006-10,51
2006-11,46
2006-12,49
2007-01,52
2007-02,52
2007-03,39
2007-04,44
2007-05,43
2007-06,44
2007-07,52
2007-08,46
2007-09,43
2007-10,48
2007-11,48
2007-12,52
2008-01,59
2008-02,48
2008-03,47
2008-04,52
2008-05,58
2008-06,42
2008-07,46
2008-08,45
2008-09,39
2008-10,42
2008-11,39
2008-12,50
2009-01,50
2009-02,54
2009-03,48
2009-04,49
2009-05,46
2009-06,48
2009-07,54
2009-08,51
2009-09,51
2009-10,47
2009-11,48
2009-12,51
2010-01,49
2010-02,55
2010-03,44
2010-04,47
2010-05,56
2010-06,54
2010-07,57
2010-08,49
2010-09,47
2010-10,53
2010-11,45
2010-12,54
2011-01,75
2011-02,62
2011-03,57
2011-04,61
2011-05,61
2011-06,61
2011-07,59
2011-08,58
2011-09,58
2011-10,58
2011-11,61
2011-12,64
2012-01,59
2012-02,58
2012-03,55
2012-04,60
2012-05,57
2012-06,57
2012-07,59
2012-08,59
2012-09,60
2012-10,56
2012-11,59
2012-12,61
2013-01,61
2013-02,65
2013-03,56
2013-04,56
2013-05,60
2013-06,59
2013-07,63
2013-08,60
2013-09,59
2013-10,60
2013-11,58
2013-12,63
2014-01,62
2014-02,62
2014-03,65
2014-04,63
2014-05,62
2014-06,66
2014-07,65
2014-08,63
2014-09,61
2014-10,64
2014-11,67
2014-12,69
2015-01,75
2015-02,75
2015-03,66
2015-04,78
2015-05,68
2015-06,82
2015-07,73
2015-08,74
2015-09,71
2015-10,76
2015-11,73
2015-12,82
2016-01,80
2016-02,77
2016-03,76
2016-04,74
2016-05,72
2016-06,75
2016-07,76
2016-08,73
2016-09,86
2016-10,77
2016-11,73
2016-12,80
2017-01,76
2017-02,74
2017-03,76
2017-04,77
2017-05,77
2017-06,77
2017-07,78
2017-08,72
2017-09,73
2017-10,71
2017-11,70
2017-12,76
2018-01,73
2018-02,71
2018-03,71
2018-04,71
2018-05,71
2018-06,77
2018-07,75
2018-08,76
2018-09,71
2018-10,76
2018-11,73
2018-12,80
2019-01,74
2019-02,74
2019-03,72
2019-04,73
2019-05,74
2019-06,75
2019-07,72
2019-08,70
2019-09,66
2019-10,66
2019-11,64
2019-12,71
2020-01,72
2020-02,70
2020-03,66
2020-04,61
2020-05,59
2020-06,60
2020-07,61
2020-08,61
2020-09,60
2020-10,66
2020-11,64
2020-12,66
2021-01,66
2021-02,66
2021-03,61
2021-04,60
2021-05,59
2021-06,60
